Symbol	S9	S10	S11	S12	S13	S14
ACTA1	-1.25266944627778	0.42554358138889	-0.238794413944444	0.179899310055555	0.411831325722224	0.474189643055555
ALB	-0.930478402611111	-1.17698716744444	-1.12015042827778	-0.923951837944444	1.41995628272222	2
TDGF1	2	-0.547325951055555	-0.496071049722222	-0.382445085388889	-0.370091482055555	-0.491267260722221
POU5F1	1.95785286761111	-0.10361158472222	-0.388769282388887	-0.423623843722222	-0.445490128388889	-0.596358028388889
MYL3	-1.6229737225	0.279383024833334	0.447123518833336	0.656432973166668	0.343687256166668	-0.103653050499999
NPPA	-2	0.759354567777778	0.411872320111113	0.431637841777778	0.225967697111112	0.183544844444446
EDNRA	-1.58660909033333	-0.352950386333334	0.299666024777777	0.371503235555555	0.494657567	0.773732649333333
FST	1.17376408644444	0.439907762944445	0.188497538777779	-0.211487269555555	-0.783461093555555	-0.807221025055555
CYP26A1	1.92534386238889	0.87416579238889	0.123088201055557	-0.86293098061111	-1.07881886127778	-0.980848013944444
AQP3	0.7628512395	-0.0219823603333322	-0.0297254573333328	-0.207255649333334	-0.2278545845	-0.276033188
NTS	2	0.220597905833334	-0.8854047985	-0.737270629833333	-0.495712684499999	-0.525666368833333
RAB25	1.91753802883334	0.7613291035	-0.113455112500001	-0.506605671833333	-0.984224821166667	-1.07458152683333
GJA1	1.04010473777778	0.370938824444445	-0.101594898888888	-0.311339345555556	-0.472465518888888	-0.52564379888889
HAPLN1	1.3851410795	1.121932283	0.548429219166668	-0.290066613333333	-1.15137681516667	-1.61405915316667
BMP2	1.40985716452778	0.387514254361112	0.0188501711944452	-0.462263217972221	-0.701178244805555	-0.652780127305554
COL2A1	-1.13251266030556	0.202414769694447	0.37037774752778	0.253425085361112	0.125481971194447	0.180813086527776
DLK1	-1.46581651311111	0.000819522222221813	0.117433923888888	0.126002289222223	0.42596950388889	0.79559127388889
KRT19	2	1.58897013216667	0.772750524833334	-0.349085478833333	-1.8079517515	-2
COL11A1	-1.40429899208333	-0.318068745583333	0.294468213750001	0.28525619375	0.43092849325	0.711714836916669
CA4	1.18193438611111	0.0901095191111122	-0.094430400055555	-0.316885385222221	-0.40498797622222	-0.455740143722223
DNMT3B	1.27736294172222	0.305589612388888	-0.0807854192777775	-0.413553185611109	-0.481126046944445	-0.607487902277777
CDH1	1.61226740380555	0.629887485638891	0.116222332638891	-0.532812855027778	-0.924935114194444	-0.900629252861109
LEFTY2	1.9778414895	-0.505566687166665	-0.0734866341666655	-0.388279134833333	-0.4440016065	-0.566507426833332
APOA4	1.40443060127778	-0.223874222388888	-0.366674761388889	-0.238639559722222	-0.365738650388889	-0.20950340738889
CYB5A	0.937938938629631	0.461168480185185	0.0968510507407407	-0.382910492592592	-0.631395802148147	-0.481652174814814
HAND1	1.52062393111111	0.989358129444447	0.570082913777779	-0.494844872222221	-1.09583790755555	-1.48938219455555
MYH7	-1.37522680072222	0.730230150944446	0.450638095777779	0.212983558944444	0.0771190736111123	-0.0957440785555548
SLC9A3R1	1.12508544561111	0.664330354611113	0.0821050996111108	-0.437394365388887	-0.578641505722222	-0.855485028722222
KRT18	1.21272729494445	1.08860262494444	0.607139871611113	-0.116078058388889	-1.24663467072222	-1.54575706238889
EZR	0.935739668555556	0.401671819222223	0.110073826472223	-0.241208173277779	-0.578147748444445	-0.628129392527779
APOC3	1.77185277655556	-0.926099759111112	-0.521045750777777	-0.888687337444444	-0.448012226444444	1.01199229722222
F2RL1	1.76868512125	0.662129871250001	-0.0628726449166662	-0.616881259583333	-0.79002669425	-0.96103439375
HOXA1	1.57927354122222	1.21666573422222	0.653400757222223	-0.383560626111111	-1.40299786144444	-1.66278154511111
CRABP1	-1.15751118338889	0.240170860944444	0.0956577819444449	0.12457723561111	0.259594167611113	0.437511137277779
SDC4	1.115254808	0.454266904	0.0715314496666681	-0.293319574333334	-0.690053680666667	-0.657679906666666
SULF1	-1.16033554151852	-0.354951351962963	0.250688757370371	0.347565738481483	0.319816281370372	0.59721611625926
ZIC3	1.834830737	-0.156560921999999	-0.806257746333332	-0.894719739666667	-0.287903093999999	0.310610765000001
VAMP8	1.29997995661111	0.492345526611113	-0.0206397053888883	-0.563542892722221	-0.799989340055553	-0.408153545055554
APOE	1.36437929618519	0.574406066962964	-0.0453126204814824	-0.893650762481481	-0.856252616481481	-0.1435693637037
MYL7	-2	1.07397731933333	0.853583106000001	0.539737066000002	0.0349079933333316	-0.248999984999998
